"ITEM","DMDUNIT","MAX_DATE","BASEPRICE","LOC","SPZONE","PMZONE","U_COUNTRY"
"220296138","220291182_NOCOLOUR",28-MAR-22,0.105,"307490003","7_79","8_252","OMN"
"220296142","220291183_NOCOLOUR",28-MAR-22,7.482,"308630003","7_79","8_252","OMN"
"220296142","220291183_NOCOLOUR",28-MAR-22,7.482,"307390003","7_79","8_252","OMN"
"220296142","220291183_NOCOLOUR",28-MAR-22,7.482,"307490003","7_79","8_252","OMN"
"220291187","220291184_NOCOLOUR",28-MAR-22,2.094,"308630003","7_79","8_252","OMN"
"220291187","220291184_NOCOLOUR",28-MAR-22,2.094,"307390003","7_79","8_252","OMN"
"220291187","220291184_NOCOLOUR",28-MAR-22,2.094,"307490003","7_79","8_252","OMN"
"220296150","220291185_NOCOLOUR",28-MAR-22,19.338,"308630003","7_79","8_252","OMN"
"220296150","220291185_NOCOLOUR",28-MAR-22,19.338,"307390003","7_79","8_252","OMN"
"220296150","220291185_NOCOLOUR",28-MAR-22,19.338,"307490003","7_79","8_252","OMN"
"220291191","220291186_NOCOLOUR",28-MAR-22,24.728,"308630003","7_79","8_252","OMN"
"220291191","220291186_NOCOLOUR",28-MAR-22,24.728,"307390003","7_79","8_252","OMN"
"220291191","220291186_NOCOLOUR",28-MAR-22,24.728,"307490003","7_79","8_252","OMN"
"220291197","220291190_NOCOLOUR",28-MAR-22,0.524,"308630003","7_79","8_252","OMN"
"220291197","220291190_NOCOLOUR",28-MAR-22,0.524,"307390003","7_79","8_252","OMN"
"220291197","220291190_NOCOLOUR",28-MAR-22,0.524,"307490003","7_79","8_252","OMN"
"220296158","220291192_NOCOLOUR",28-MAR-22,13.632,"308630003","7_79","8_252","OMN"
"220296158","220291192_NOCOLOUR",28-MAR-22,13.632,"307390003","7_79","8_252","OMN"
"220296158","220291192_NOCOLOUR",28-MAR-22,13.632,"307490003","7_79","8_252","OMN"
"220291201","220291193_NOCOLOUR",28-MAR-22,10.363,"308630003","7_79","8_252","OMN"
"220291201","220291193_NOCOLOUR",28-MAR-22,10.363,"307390003","7_79","8_252","OMN"
"220291201","220291193_NOCOLOUR",28-MAR-22,10.363,"307490003","7_79","8_252","OMN"
"220296162","220291194_NOCOLOUR",28-MAR-22,0.105,"308630003","7_79","8_252","OMN"
"220296162","220291194_NOCOLOUR",28-MAR-22,0.105,"307390003","7_79","8_252","OMN"
"220296162","220291194_NOCOLOUR",28-MAR-22,0.105,"307490003","7_79","8_252","OMN"
"220291204","220291195_NOCOLOUR",28-MAR-22,60.868,"308630003","7_79","8_252","OMN"
"220291204","220291195_NOCOLOUR",28-MAR-22,60.868,"307390003","7_79","8_252","OMN"
"220291204","220291195_NOCOLOUR",28-MAR-22,60.868,"307490003","7_79","8_252","OMN"
"220296159","220291196_NOCOLOUR",28-MAR-22,14.863,"308630003","7_79","8_252","OMN"
"220296159","220291196_NOCOLOUR",28-MAR-22,14.863,"307390003","7_79","8_252","OMN"
"220296159","220291196_NOCOLOUR",28-MAR-22,14.863,"307490003","7_79","8_252","OMN"
"220296165","220291198_NOCOLOUR",28-MAR-22,8.792,"308630003","7_79","8_252","OMN"
"220296165","220291198_NOCOLOUR",28-MAR-22,8.792,"307390003","7_79","8_252","OMN"
"220296165","220291198_NOCOLOUR",28-MAR-22,8.792,"307490003","7_79","8_252","OMN"
"220296164","220291199_NOCOLOUR",28-MAR-22,5.854,"308630003","7_79","8_252","OMN"
"220296164","220291199_NOCOLOUR",28-MAR-22,5.854,"307390003","7_79","8_252","OMN"
